car_test_nm,addr_road,x,y,tel,tester,work_time,agency_cd,agency_nm,reg_dt
상무1급자동차공업사,광주광역시 서구 상무누리로 131-1,35.15465571,126.8384776,062-371-3444,4,평일:09:00-18:00+토요일:09:00-13:00,3600000,광주광역시 서구,2024-06-19
청림종합정비(주),경상북도 포항시 남구 동해안로 6059-19,35.99380115,129.4034993,054-292-6900,,평일 09:00~18:00+토요일 09:00~12:00,5020000,경상북도 포항시,2024-06-17
영포자동차정비,경상북도 포항시 남구 연일읍 철강로107번길 46-10,35.99293163,129.357079,054-286-3383,,평일 09:00~18:00+토요일 09:00~12:00,5020000,경상북도 포항시,2024-06-17
금성자동차종합정비(포항),경상북도 포항시 남구 연일읍 철강로107번길 67,35.99507718,129.355217,054-286-6077,,평일 09:00~18:30+토요일 09:00~12:30,5020000,경상북도 포항시,2024-06-17
현대오토종합정비,경상북도 포항시 북구 아치로 189,36.05904768,129.3461386,054-242-1100,,평일 08:30~18:00+토요일 09:00~13:00,5020000,경상북도 포항시,2024-06-17
(주)신제일종합정비,경상북도 포항시 남구 정몽주로 842,35.99089312,129.4077027,054-292-5000,,평일 09:00~17:30+토요일 09:00~13:00,5020000,경상북도 포항시,2024-06-17
태극종합자동차정비,경상북도 포항시 북구 흥해읍 덕실마을길3번길 34,36.12255954,129.3413091,054-262-3600,,평일 09:00~18:00+토요일 09:00~12:00,5020000,경상북도 포항시,2024-06-17
(주)삼일이알씨,경상북도 포항시 남구 철강로 159,35.98868111,129.3589329,054-285-3030,,평일 09:00~18:00+토요일 09:00~12:00,5020000,경상북도 포항시,2024-06-17
원일종합정비,경상북도 포항시 북구 소티재로 140,36.06392381,129.3525847,054-243-5400,,평일 09:00~18:00+토요일 09:00~12:00,5020000,경상북도 포항시,2024-06-17
평화공업사,강원특별자치도 양구군 양구읍 박수근로 349,38.10256981,127.9819108,033-482-7272,3,(평일)09:00~18:00,4321000,강원특별자치도 양구군,2024-09-26
양구공업사,강원특별자치도 양구군 양구읍 중심로 9,38.09221044,127.9959482,033-481-1170,2,(평일)09:00~18:00,4321000,강원특별자치도 양구군,2024-09-26
서울자동차서비스,서울특별시 강남구 선릉로93길 46,37.504433,127.0449451,02-564-5151,,평일 08:30~18:00+토요일 09:00~13:00,3220000,서울특별시 강남구,2024-09-25
세원자동차공업사㈜,경기도 성남시 중원구 둔촌대로 458(상대원동),37.431511,127.167758,031-731-6911,1,09:00~18:00,3780000,경기도 성남시,2024-09-11
1급분당종합정비사업(주),경기도 성남시 분당구 동원북로 18(동원동),37.346236,127.099397,031-711-3334,4,09:00~18:00,3780000,경기도 성남시,2024-09-11
르노삼성 중원자동차,경기도 성남시 중원구 둔촌대로 156(하대원동),37.429144,127.136420,031-757-7656,4,09:00~18:00,3780000,경기도 성남시,2024-09-11
㈜월평정비검사장,대전광역시 서구 월드컵대로 484번길148-4,36.34407374,127.3539735,042-528-9501,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜청모터스,대전광역시 서구 복수북로1,36.30762248,127.3707416,042-585-9119,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜한스오토스,대전광역시 서구 혜천로36,36.305854,127.369912,042-584-3333,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
관저자동차공업사,대전광역시 유성구 계백로937,36.30158586,127.3270612,042-544-2222,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜서대전공업사,대전광역시 유성구 계백로963,36.301954,127.3301133,042-545-7181,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
유화자동차공업사,대전광역시 유성구 계백로919,36.3010496,127.325429,042-545-2245,4,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
대성공업사,대전광역시 대덕구 대화로16,36.3684909,127.4179108,042-624-7771,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
삼성자동차공업㈜,대전광역시 대덕구 신일동로33번길85,36.44502852,127.4075284,042-936-7777,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
(주)동인천서비스,인천광역시 중구 인중로 43(신흥동 3가),37.46357122,126.6379177,032-884-4001,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
(주)연안자동차,인천광역시 중구 축항대로86번길 66(항동 7가),37.45159276,126.6032514,032-887-2277,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
드림자동차공업(주),인천광역시 중구 서해대로 106 (신흥동3가),37.43790906,126.6186115,032-888-8936,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
공항자동차공업사,인천광역시 중구 백운로527번길 51(운북동),37.51242367,126.5042017,032-747-1471,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
신흥현대자동차공업사,인천광역시 중구 축항대로290번길 134(신흥동),37.43749156,126.6202171,032-818-5555,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
㈜에이원모터스,인천광역시 중구 공항동로465번길 105-12(운서동),37.47973379,126.4519723,032-741-6000,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
은혜공업(주),인천광역시 중구 서해대로94번길 57-33 (신흥동3가),37.4365879,126.6240675,032-887-5670,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
삼일자동차써비스(주),인천광역시 중구 축항대로290번길 120(신흥동3가),37.43890375,126.6205351,032-885-3106,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
고속종합정비공장,경상북도 김천시 새까끔길 5,36.12724088,128.0731941,054-435-3399,1,08:30~18:00,5060000,경상북도 김천시,2024-08-20
김천현대종합정비,경상북도 김천시 공단2길 15,36.14082434,128.137104,054-430-8181,1,08:30~18:00,5060000,경상북도 김천시,2024-08-20
황악정비센타,경상북도 김천시 대항면 복전길 190,36.13446079,128.0334636,054-436-8811,1,08:30~17:30,5060000,경상북도 김천시,2024-08-20
스마일자동차종합,경상북도 김천시 영남대로 2097-6,36.11509138,128.157771,054-430-2225,1,08:30~17:30,5060000,경상북도 김천시,2024-08-20
태성종합정비,경상북도 김천시 영남대로 2137,36.1133484,128.1616948,054-433-4982,1,08:30~17:30,5060000,경상북도 김천시,2024-08-20
그린자동차종합정비,경상북도 김천시 영남대로 2078,36.115077,128.1550033,054-431-7200,1,08:30~18:00,5060000,경상북도 김천시,2024-08-20
삼성자동차종합정비,경상북도 김천시 백옥1길 5,36.124685,128.082138,054-437-8282,1,08:30~18:00,5060000,경상북도 김천시,2024-08-20
삼영자동차정비공장,경상북도 김천시 농공단지2길 12,36.13209554,128.1327771,054-430-2477,1,08:30~18:00,5060000,경상북도 김천시,2024-08-20
김천제일종합정비공장,경상북도 김천시 시청로 172,36.1431832,128.1193818,054-432-3500,1,08:30~18:00,5060000,경상북도 김천시,2024-08-20
서산현대자동차공업사,충청남도 서산시 고운로 6-7(예천동),36.77355161,126.4439601,041-665-2933,6,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
서산현대서비스,충청남도 서산시 수석순환로 5(수석동),36.78147112,126.4973972,041-665-0611,4,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
백마공업사,충청남도 서산시 지곡면 충의로 1585,36.90822802,126.4407145,041-663-3777,3,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
제국모터스,충청남도 서산시 양열로 212(석남동),36.76188865,126.4535791,041-667-1171,2,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
한국지엠서산서비스센터(주),충청남도 서산시 음암면 운암로 233,36.79160323,126.5053495,041-664-8255,3,"평일 09:00~18:00+토요일 09:00~13:00 (*2,4주 차 주말 휴무)",4530000,충청남도 서산시,2022-07-25
현대자동차정비공업사,충청남도 서산시 성연면 충의로 703,36.83184426,126.4422911,041-664-8622,4,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
애향자동차정비공업,충청남도 서산시 음암면 중앙로 548,36.75200904,126.4996219,041-667-2345,2,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
우대자동차공업사,충청남도 서산시 고북면 내포로 2435,36.69873874,126.5413179,041-688-7748,3,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
글로벌모터스,충청남도 서산시 남부순환로 907,36.75822584,126.4502761,041-667-3311,3,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
중앙자동차정비공업사,충청남도 서산시 대산읍 충의로 1645-4,36.91413925,126.4418316,041-681-4231,3,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
종합자동차공업사,충청남도 서산시 서해로 3197,36.77102126,126.4357785,041-667-1241,2,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
남부현대서비스,충청남도 서산시 남부순환로 20-8,36.75368012,126.4943513,041-668-1188,3,평일 09:00~18:00+토요일 09:00~12:00,4530000,충청남도 서산시,2022-07-25
거창자동차검사소,경상남도 거창군 거창읍 밤티재로1301 (거창읍),35.67152612,127.9306741,055-945-1444,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
경주자동차검사소,경상북도 경주시 산업로4391 (용강동),35.87194126,129.2238735,054-773-0448,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
고양자동차검사소,경기도 고양시 일산동구 성석로141 (성석동),37.68990973,126.7979117,031-977-3939,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
광주자동차검사소,광주광역시 남구 송암로96 (송하동),35.1136346,126.8750002,062-606-7650,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
구로자동차검사소,서울특별시 구로구 경인로113 (오류동),37.49284945,126.8333562,02-2037-6000,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
구미자동차검사소,경상북도 구미시 야은로722 (원평동),36.1247009,128.3582939,054-456-7514,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
군산자동차검사소,전북특별자치도 군산시 외항로292 (소룡동),35.96984844,126.6369344,063-467-3508,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
김해자동차검사소,경상남도 김해시 주촌면 골든루트로 65-6,35.21229328,128.8281836,055-333-5205,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
남양주자동차검사소,경기도 남양주시 진건읍 독정로273길 31-19,37.6769141,127.1962784,031-575-1472,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
남원자동차검사소,전북특별자치도 남원시 충정로 265-15 (월락동),35.42581768,127.3964368,063-625-2803,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
노원자동차검사소,서울특별시 노원구 공릉로62길 41 (하계동),37.6374723,127.071625,02-972-4121,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
달서자동차검사소,대구광역시 달서구 월배로5길 10 (유천동),35.81281691,128.5170497,053-587-8181,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
대전자동차검사소,대전광역시 서구 변동로 44(변동),36.32484117,127.3779096,042-523-5095,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
동탄자동차검사소,경기도 화성시 동탄기흥로 642-4 (영천동),37.217278,127.095392,031-378-8731,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
㈜동구자동차공업검사,대전광역시 동구 충무로203번길76,36.32502563,127.437007,042-283-3636,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜동부자동차검사정비센터,대전광역시 동구 대종로15,36.29593969,127.4590035,042-272-1500,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜으뜸자동차,대전광역시 동구 대전로261,36.291641,127.462285,042-282-1500,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜태광모터스,대전광역시 동구 산내로1412-4,36.28870783,127.4648074,042-286-8770,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜대창기업,대전광역시 중구 유등천동로324번길6,36.31136324,127.3880762,042-582-1701,4,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜통운모터스,대전광역시 중구 유등천동로790,36.34751498,127.4054199,042-242-7770,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
충남공업㈜,대전광역시 중구 대종로326,36.3146822,127.4344643,042-255-3011,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
(합)유승기업,대전광역시 서구 계룡로510,36.34340913,127.3802282,042-523-0033,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
21세기모터스검사장,대전광역시 서구 대덕대로 67,36.339668,127.373205,042-527-0203,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
21세기안전검사소,대전광역시 서구 월드컵대로 484번길59,36.34722417,127.3540011,042-544-8770,4,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
대원자동차공업사,대전광역시 서구 도산로181번길21,36.32467621,127.3777138,042-523-9921,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
빛나는자동차공업㈜,대전광역시 서구 도산로365,36.33745834,127.3912175,042-523-9301,4,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
아크로모터스,대전광역시 유성구 한밭대로 17,36.36203256,127.305578,042-719-1233,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
이안현대모터스,대전광역시 동구 안골로 45,36.26859064,127.4719618,042-282-2506,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
용인종합정비,대전광역시 동구 옥천로 321,36.323093,127.471814,042-283-4502,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
모든모터스,대전광역시 서구 도산로 169,36.323686,127.3778995,042-484-5459,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
제일자동차종합정비,충청북도 영동군 영동읍 동정로 72-45,36.173175,127.7876509,043-744-0111,1,평일09:00~17:30+토요일 09:00~12:30,4440000,충청북도 영동군,2023-12-19
영동기아서비스,충청북도 영동군 영동읍 동정로 119,36.17175644,127.7937625,043-744-1072,1,평일09:00~17:20+토요일 09:00~12:00,4440000,충청북도 영동군,2023-12-19
영동 현대 서비스,충청북도 영동군 영동읍 기골로 190,36.18747086,127.790727,043-742-3333,1,평일08:30~17:30+토요일 08:30~12:00,4440000,충청북도 영동군,2023-12-19
(주)서천제일자동차공업사,경기도 용인시 기흥구 서그내로53번길 3-4 (서천동),37.24186776,127.0745228,031-273-9060,,09:00~18:00,4050000,경기도 용인시,2024-08-07
르노코리아서비스센터기흥정비(주),경기도 용인시 기흥구 신갈로 5-9 (상갈동),37.2679445,127.104739,031-286-8245,,09:00~18:00,4050000,경기도 용인시,2024-08-07
카신모터스,대전광역시 대덕구 아리랑로55번길7,36.37781545,127.411974,042-633-4004,4,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
신탄1급정비검사장,대전광역시 대덕구 신탄진로756번안길68-1,36.44329001,127.433499,042-932-7005,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
대한상용자동차,대전광역시 대덕구 신탄진로1,36.38351398,127.4243929,042-717-1346,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
안전자동차정비공업사,대전광역시 대덕구 대화로32번길223,36.37675982,127.410698,042-636-3530,2,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜대전공업사,대전광역시 대덕구 벚꽃길86,36.431589,127.424182,042-932-9733,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜대진자동차공업사,대전광역시 대덕구 신탄진로756번안길79,36.44436152,127.4331607,042-933-1282,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜서울모터스,대전광역시 대덕구 갑천도시고속도로1079,36.39144012,127.4132362,042-639-4646,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
동아자동차기업㈜,대전광역시 대덕구 대화로50번길96,36.36884941,127.419463,042-626-1800,4,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜대전공단모터스 기아오토큐,대전광역시 대덕구 신일동로 7,36.444431,127.4056988,042-935-0981,2,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
교통안전공단 대전검사소,대전광역시 서구 변동로44,36.32484117,127.377932,042-523-5095,9,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
교통안전공단 신탄진검사소,대전광역시 대덕구 대덕대로 1417번길31,36.44704811,127.4051163,042-931-8106,7,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
교통안전공단 유성검사소,대전광역시 서구 계룡로 232번길 123,36.346222,127.3550214,042-535-7147,5,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
남부자동차공업㈜,대전광역시 동구 옥천로273,36.31994416,127.4699639,042-285-5200,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
㈜고속모터스,대전광역시 동구 합내로73,36.349588,127.439805,042-627-4972,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
강남자동차검사소,서울특별시 강남구 헌릉로745길 13 (율현동),37.46850851,127.1186807,02-459-2844,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
강릉자동차검사소,강원특별자치도 강릉시 경강로 1952-10 (홍제동),37.74735582,128.8824207,033-646-5000,,(평일)09:00~18:00+(토요일)09:00~13:00,B553881,한국교통안전공단,2024-01-26
영해그린정비,경상북도 영덕군 영해면 영덕로 1759,36.53364166,129.404388,054-734-1993,,평일:08:30~17:30+토요일(격주):08:30~11:00,5180000,경상북도 영덕군,2024-08-14
화성종합정비,경상북도 영덕군 영덕읍 영덕로 299,36.420801,129.3744319,054-733-3366,,평일:08:30~17:00+토요일:09:00~11:30,5180000,경상북도 영덕군,2024-08-14
영덕종합정비,경상북도 영덕군 영덕읍 영덕로 293,36.42043516,129.3735761,054-732-7171,,평일:09:00~17:00+토요일:09:00~12:00,5180000,경상북도 영덕군,2024-08-14
용상종합정비,충청북도 단양군 단양읍 단양로 957,36.97745528,128.3448483,043-422-2222,3,평일 08:30~17:30,4480000,충청북도 단양군,2024-08-12
현대종합자동차정비공업사,경상남도 하동군 하동읍 섬진강대로 2334,35.0810584,127.7364667,055-882-6600,1,(평일)09:00~18:00,5440000,경상남도 하동군,2024-08-14
대광자동차1급정비,경상남도 하동군 진교면 새미골길 32-2,35.01989443,127.9008268,055-883-9173,1,(평일)08:30~17:30,5440000,경상남도 하동군,2024-08-14
(주)두일1급자동차종합비,경상남도 하동군 하동읍 화심길 126,35.08788718,127.7328544,055-882-2500,1,(평일)09:00~17:40,5440000,경상남도 하동군,2024-08-14
이화모터스,경상남도 하동군 적량면 황금길 3,35.07918233,127.7816176,055-882-0521,1,(평일)08:30~18:00,5440000,경상남도 하동군,2024-08-14
하동자동차정비,경상남도 하동군 적량면 대티길 66,35.0792218,127.7804019,055-884-2121,1,(평일)09:00~18:00,5440000,경상남도 하동군,2024-08-14
월드모터스,경상남도 하동군 금남면 산업로911-1,34.9888768,127.8023243,055-882-0456,1,(평일)09:00~18:00,5440000,경상남도 하동군,2024-08-14
신라종합정비,경상남도 하동군 고전면 재첩길 20,34.99741973,127.8026549,055-882-8289,1,(평일)08:30~17:30,5440000,경상남도 하동군,2024-08-14
부평서비스기아오토큐 합자회사,인천광역시 부평구 청중로 104 (청천동),37.51708022,126.7085084,032-528-3030,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
만우자동차㈜,인천광역시 부평구 마장로426번길 25 (청천동),37.51659292,126.7057289,032-528-7040,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
덕산자동차공업사,인천광역시 부평구 새벌로 71 (청천동),37.5234995,126.7160203,032-528-4111,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
삼산자동차공업(주),인천광역시 부평구 평천로 372 (갈산동),37.51747629,126.7318953,032-523-0660,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
정성자동차공업사,인천광역시 부평구 굴포로 8 (갈산동),37.51148052,126.7213976,032-529-4949,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
만도자동차공업사,인천광역시 부평구 부평북로 116 (청천동),37.52218496,126.7056531,032-543-3349,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
인영자동차공업사,인천광역시 부평구 열우물로 155 (십정동),37.47826314,126.6913858,032-439-9981,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
(합)신영자동차서비스센터,인천광역시 부평구 평천로 7 (청천동),37.52216553,126.6937217,032-528-2324,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
(주)아진모터스,인천광역시 계양구 아나지로 434 (작전동),37.52526136,126.7403933,032-546-2100,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
(주)1급성우자동차검사소,인천광역시 계양구 아나지로437번길 1 (작전동),37.52574359,126.7406891,032-555-8811,,평일:09:00~18:00+토요일:09:00~13:00,6280000,인천광역시,2023-05-31
(주)광진자동차종합정비센타,경기도 양주시 광적면 광적로 444,37.85274009,126.9607398,031-871-8491,3,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
(주)양주자동차정비공업사,경기도 양주시 평화로 1617(회정동),37.83364152,127.0533951,031-858-6065,3,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
양주현대서비스,경기도 양주시 광적면 부흥로 931,37.81075111,126.9932681,031-836-1102,2,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
(주)일광자동차서비스,경기도 양주시 장흥면 호국로123번길 12,37.71501868,126.9355663,031-855-0803,2,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
엘테크자동차정비공업사㈜,경기도 양주시 백석읍 중앙로 306,37.79933633,126.9804931,031-824-9064,3,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
1급세종자동차공업사,경기도 양주시 은현면 화합로 922,37.86195532,127.0249236,031-861-8988,2,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
옥정현대서비스,경기도 양주시 율정로 257-14(율정동),37.81760731,127.1038475,031-857-5580,3,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
동일자동차공업㈜,경기도 양주시 화합로1325번길 123-18(덕정동),37.8531523,127.0613449,031-859-4300,3,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
(주)광적공업사,경기도 양주시 광적면 광적로 314,37.84215397,126.966844,031-855-3500,3,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
㈜서연큐모터스,경기도 양주시 남면 감악산로20번길 212,37.87810747,126.9933515,031-857-1480,2,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
강남자동차 정비검사소,경기도 양주시 광적면 광적로 167,37.83296266,126.9768727,031-846-1133,2,(평일)09:00~18:00,5590000,경기도 양주시,2024-05-16
